TAXON_NAME_ID,GENUS,SPECIES,AUTHOR_TEXT
138497,Spalacotherium,,
139175,Spaniomys,modestus,
138992,Sparagmites,lacerhinus,
139969,Sparassocynus,derivatus,"Mercerat, 1898"
138982,Sparodus,crassidens,
138983,Sparodus,validus,
136274,Spathicephalus,mirus,
136276,Spathicephalus,,
141033,Spermatodus,pustulosus,
141242,Spermatodus,,
145186,Sphenacanthus,hybodordes,(Egert.)
139484,Sphenocephalus,,
136208,Sphenocodon,ferocior,
136207,Sphenocodon,ferox,
138753,Sphenomeryx,,
139629,Spinax,,"Cuvier, 1816"
147672,Squalicorax,,
141770,Squaloraja,polyspondyla,Ag.
141771,Squaloraja,,
137759,Stagonolepis,robertsoni,
136474,Stahleckeria,,
136482,Stahlickera,patens,
135741,Stanocephalosaurus,birdi,Brown
136210,Staurikosaurus,,
147185,Steganoposaurus,belli,Branson & Mehl
136736,Stegoceras,validus,
137895,Stegolophodon,latidens,"(Clift, 1828)"
138733,Stegomastodon,merificus,Leidy
136029,Stegomosuchus,,
454251,Stegomus,longipes,(Emerson & Loomis)
138607,Stegops,divaricata,(Cope)
141428,Stegops,divericata,
138107,Stegotetrabelodon,orbus,
145202,Stegotrachelus,fiselayi,Wood & White
140100,Stemmatodus,rhombus,(Ag.)
137164,Steneofiber,,
141729,Stenichnus,yakiensis,"Gilmore, 1927"
136605,Stenomylus,gracilis,
137352,Stenopterygius,quadriscissus,(Quenstedt)
137353,Stenopterygius,zetlandicus,(Seeley)
330345,Stenopterygius,,
147453,Stereogenys,cromeri,Andrews
135949,Stereophallodon,ciscoensis,"Romer, 1937"
136198,Stereophallodon,,
135943,Stereophalodon,ciscoensis,
136073,Stereosternum,tumidum,
140011,Steropodon,galmani,"Archer, 1985"
145161,Stethacanthus,depressus,(St. John & Worthen)
139307,Stethacanthus,,"Newberry, 1889"
140691,Sthenarosaurus,,
136394,Sthenurus,brehus,
139074,Stibarus,lemurinus,Cope
143195,Stibarus,quadrieuspis,(Hatcher)
138857,Stilpnodon,simplicidens,
139943,Stirtonia,tatacoensis,Stirton
146239,Stockia,powayensis,"Gazin, 1958"
139361,Streblodus,coleii,
139595,Streblodus,oblongus,
141160,Streblodus,,
454332,Stregecephalia,,
139821,Strepsodus,sauroides,Binn.
139822,Strepsodus,sulcidens,H. & A.
141599,Strepsodus,,
139304,Strethacanthus,productus,N.
141795,Strigorhysis,bridgerensis,"Bown, 1979"
137995,Stupendemys,geographicus,
138487,Stygimys,kuszmauli,
145040,Stygimys,,
136281,Stylemys,nebrascensis,Leidy
137471,Suaptenos,whitei,Lawrence
525780,Suevoleviathan,integer,(Brown)
138211,Sugrivapithecus,gregori,Lewis
144190,Sugrivapithecus,salmontanus,Lewis
145662,Svalbardaspis,rotundus,Heintz
147156,Sygnathus,,
137131,Syndoceras,australis,"White, 1941"
137486,Syndyoceras,australis,White
137129,Syndyoceros,australis,White
137128,Synodoceras,australis,White
141273,Synorichthys,stewarti,
136721,Syntarsus,kayentakatae,
521438,Syntarsus,,
137476,Synthetoceras,douglasi,
138057,Synthetoceras,rileyi,
145136,Synthetodus,calvini,Eastman
143688,Taeniodont,,
139933,Taeniolabis,taoensis,
141307,Tamiobatis,vetustus,"Eastman, 1897"
137922,Tanupolama,mirifica,
137819,Tapiravus,validus,
